word,value
obeah,51
Obey,61
object,61
obol,41
obscene,97
obscure,99
observing,129
obstinate,105
obstruction,138
obtain,68
ocean,54
oceans,69
odds,71
Odyssey,112
of,22
off,34
offer,61
offering,96
often,68
Oh,13
Ohé,26
oil,11
ointment,110
Olalám,38
old,34
olive,46
Olympas,74
Omnipotent,124
omnipresence,153
Ompehda,79
on,34
once,49
one,47
ones,62
Only,53
onrush,91
onyx,58
ooze,52
opal,20
open,51
opened,87
Opening,86
openly,70
operation,89
operations,104
Ophir,31
opium-poppy,100
Opus,54
or,24
orb,44
orchard,71
Ordeal,66
ordeals,81
order,74
ordering,109
orgy,53
Original,65
orison,73
orisons,88
Osiris,54
osprey,74
other,49
other’s,64
others,64
otherwise,85
Otherworld,105
our,49
Ours,64
ourselves,128
out,44
outcast,75
outer,71
outermost,126
outward,94
ovals,53
over,59
overcome,105
overmuch,110
oversee,100
overshadowed,159
overthrow,103
Overworld,115
own,42
Ox,16
oyster,79
P,4
pa,9
pack,28
page,33
paid,32
pain,33
pains,48
painted,78
Palace,30
palaces,45
pale,23
pall,11
pallid,34
palms,46
Pan,33
Pan-pipe,54
paper,40
paps,28
